topic_id,candidates,matched_cached,missing_cached
1,100,91,9
2,100,97,3
3,100,97,3
4,100,90,10
5,100,99,1
6,100,92,8
7,100,98,2
8,100,100,0
9,100,98,2
10,100,97,3
11,100,96,4
12,100,98,2
13,100,97,3
14,100,98,2
15,100,98,2
16,100,98,2
17,100,92,8
18,100,98,2
19,100,100,0
20,100,96,4
21,100,99,1
22,100,99,1
23,100,93,7
24,100,94,6
25,100,98,2
26,100,97,3
27,100,92,8
28,100,99,1
29,100,95,5
30,100,97,3
31,100,99,1
32,100,94,6
33,100,96,4
34,100,99,1
35,100,97,3
36,100,94,6
37,100,95,5
38,100,95,5
39,100,94,6
40,100,97,3
41,100,100,0
42,100,96,4
43,100,95,5
44,100,97,3
45,100,95,5
46,100,90,10
47,100,99,1
48,100,99,1
49,100,97,3
50,100,96,4
51,100,96,4
52,100,100,0
53,100,94,6
54,100,95,5
55,100,99,1
56,100,100,0
57,100,98,2
58,100,98,2
59,100,99,1
60,100,91,9
61,100,95,5
62,100,99,1
63,100,95,5
64,100,90,10
65,100,98,2
66,100,98,2
67,100,97,3
68,100,96,4
69,100,98,2
70,100,98,2
71,100,97,3
72,100,98,2
73,100,92,8
74,100,98,2
75,100,99,1
